"행정구역별(시군구)","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","연령별",내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
"울산광역시","합계",961871,292528,568222,55833,45288,496710,178867,289506,7966,20371,465161,113661,278716,47867,24917
"울산광역시","15~19세",77512,77476,35,1,,42303,42302,1,,,35209,35174,34,1,
"울산광역시","20~24세",76166,74605,1488,3,70,44474,44023,438,1,12,31692,30582,1050,2,58
"울산광역시","25~29세",69618,56570,12769,16,263,39332,35043,4195,4,90,30286,21527,8574,12,173
"울산광역시","30~34세",86144,35149,49786,107,1102,45542,23513,21573,24,432,40602,11636,28213,83,670
"울산광역시","35~39세",90144,20126,66981,263,2774,47288,13999,32228,90,971,42856,6127,34753,173,1803
"울산광역시","40~44세",98660,13199,78536,776,6149,49202,9427,37030,184,2561,49458,3772,41506,592,3588
"울산광역시","45~49세",107760,7473,89583,1666,9038,53481,5346,43951,266,3918,54279,2127,45632,1400,5120
"울산광역시","50~54세",105759,3733,89489,3159,9378,54865,2675,47265,629,4296,50894,1058,42224,2530,5082
"울산광역시","55~59세",90694,2174,75071,5581,7868,46440,1506,40360,895,3679,44254,668,34711,4686,4189
"울산광역시","60~64세",59014,914,46651,6860,4589,30136,558,26145,1163,2270,28878,356,20506,5697,2319
"울산광역시","65~69세",37758,451,27381,7633,2293,19387,269,16732,1147,1239,18371,182,10649,6486,1054
"울산광역시","70~74세",26753,234,16752,8741,1026,12384,111,10444,1264,565,14369,123,6308,7477,461
"울산광역시","75~79세",18428,151,9031,8731,515,7199,50,5820,1076,253,11229,101,3211,7655,262
"울산광역시","80~84세",10718,128,3559,6869,162,3356,20,2515,756,65,7362,108,1044,6113,97
"울산광역시","85세이상",6743,145,1110,5427,61,1321,25,809,467,20,5422,120,301,4960,41
"세종특별자치시","합계",160337,46035,99303,9936,5063,80770,26044,51024,1391,2311,79567,19991,48279,8545,2752
"세종특별자치시","15~19세",11767,11760,7,,,5896,5894,2,,,5871,5866,5,,
"세종특별자치시","20~24세",13762,13479,274,,9,7381,7313,68,,,6381,6166,206,,9
"세종특별자치시","25~29세",10915,8097,2764,1,53,5786,4887,878,1,20,5129,3210,1886,,33
"세종특별자치시","30~34세",16627,4799,11609,9,210,7867,2893,4901,,73,8760,1906,6708,9,137
"세종특별자치시","35~39세",19522,2833,16182,29,478,9787,1890,7756,,141,9735,943,8426,29,337
"세종특별자치시","40~44세",19823,2200,16799,80,744,10758,1382,8987,20,369,9065,818,7812,60,375
"세종특별자치시","45~49세",14694,1246,12505,127,816,7929,799,6752,35,343,6765,447,5753,92,473
"세종특별자치시","50~54세",12488,786,10372,368,962,6499,502,5460,85,452,5989,284,4912,283,510
"세종특별자치시","55~59세",11393,432,9498,667,796,5835,274,5073,110,378,5558,158,4425,557,418
"세종특별자치시","60~64세",8252,191,6597,1021,443,4202,126,3661,188,227,4050,65,2936,833,216
"세종특별자치시","65~69세",6182,89,4680,1105,308,2967,36,2628,136,167,3215,53,2052,969,141
"세종특별자치시","70~74세",5564,49,3832,1517,166,2464,26,2111,227,100,3100,23,1721,1290,66
"세종특별자치시","75~79세",4434,25,2520,1844,45,1860,8,1583,249,20,2574,17,937,1595,25
"세종특별자치시","80~84세",2975,24,1185,1746,20,1054,11,821,212,10,1921,13,364,1534,10
"세종특별자치시","85세이상",1939,25,479,1422,13,485,3,343,128,11,1454,22,136,1294,2
"경기도","합계",10145786,3148490,5851650,621529,524117,5069884,1781950,2974299,90761,222874,5075902,1366540,2877351,530768,301243
"경기도","15~19세",785461,783495,1173,729,64,406098,405255,535,271,37,379363,378240,638,458,27
"경기도","20~24세",802520,784561,16096,1155,708,423245,417893,4681,408,263,379275,366668,11415,747,445
"경기도","25~29세",731404,602714,125302,409,2979,378789,336177,41599,181,832,352615,266537,83703,228,2147
"경기도","30~34세",904885,383821,507292,830,12942,462089,237820,219435,208,4626,442796,146001,287857,622,8316
"경기도","35~39세",991095,220476,737282,2224,31113,500282,141144,347037,587,11514,490813,79332,390245,1637,19599
"경기도","40~44세",1115058,161030,877914,6810,69304,565439,108257,428919,1464,26799,549619,52773,448995,5346,42505
"경기도","45~49세",1090320,98769,872364,16887,102300,548823,67720,436196,3507,41400,541497,31049,436168,13380,60900
